AA	3.092127	3.909859	3.555817	3.530630	2.829310	1.243419	3.540242	3.534724	3.773778	3.682731	0.000000	0.000000	0.000000	0.000000	0.025543	0.030438	0.023852	0.018423	0.000000	0.000000	5.090266	0	0	-0.055860	-0.055860
AB	3.092572	3.909147	3.556529	3.531075	2.829755	1.243063	3.540509	3.535258	3.773867	3.684511	0.000000	0.000000	0.000000	0.000000	0.025543	0.030082	0.023674	0.017978	0.000000	0.000000	5.088664	0	0	-0.055860	-0.055860
AC	3.092483	3.910571	3.556262	3.531609	2.830823	1.243953	3.540420	3.535525	3.774846	3.684155	0.000000	0.000000	0.000000	0.000000	0.026166	0.030616	0.023585	0.018156	0.000000	0.000000	5.089732	0	0	-0.055860	-0.055860
AD	3.091593	3.910571	3.557241	3.531698	2.831090	1.244042	3.540687	3.535525	3.776715	3.684689	0.000000	0.000000	0.000000	0.000000	0.026166	0.030705	0.023585	0.018334	0.000000	0.000000	5.088575	0	0	-0.055860	-0.055860
AE	3.092394	3.910571	3.557241	3.532143	2.831268	1.248403	3.549320	3.535970	3.775647	3.683799	0.000000	0.000000	0.000000	0.000000	0.025543	0.030972	0.023051	0.018601	0.000000	0.000000	5.088575	0	0	-0.055860	-0.055860
AF	3.093284	3.911016	3.556707	3.532321	2.830556	1.244843	3.549142	3.536504	3.775825	3.684511	0.000000	0.000000	0.000000	0.000000	0.025454	0.030438	0.022161	0.018334	0.000000	0.000000	5.089198	0	0	-0.055860	-0.055860
B0	3.092572	3.910927	3.557686	3.533122	2.831535	1.245199	3.547273	3.536860	3.776448	3.684956	0.000000	0.000000	0.000000	0.000000	0.025365	0.030883	0.023852	0.017978	0.000000	0.000000	5.087952	0	0	-0.055860	-0.055860
B1	3.092394	3.911639	3.557775	3.533033	2.831090	1.244932	3.549854	3.536860	3.776982	3.685134	0.000000	0.000000	0.000000	0.000000	0.025632	0.030883	0.022784	0.018245	0.000000	0.000000	5.088486	0	0	-0.055860	-0.055860
B2	3.092127	3.910749	3.557775	3.532944	2.831001	1.245288	3.548964	3.536682	3.776626	3.684778	0.000000	0.000000	0.000000	0.000000	0.025899	0.031061	0.022161	0.018334	0.000000	0.000000	5.087596	0	0	-0.055860	-0.055860
B3	3.092216	3.911194	3.557508	3.533745	2.831179	1.247157	3.549943	3.537127	3.776626	3.685223	0.000000	0.000000	0.000000	0.000000	0.025365	0.030082	0.023318	0.017711	0.000000	0.000000	5.089465	0	0	-0.055860	-0.055860
B4	3.092305	3.911105	3.557419	3.534012	2.831268	1.245911	3.546650	3.537394	3.776626	3.685846	0.000000	0.000000	0.000000	0.000000	0.026166	0.030972	0.022962	0.018067	0.000000	0.000000	5.085549	0	0	-0.055860	-0.055860
B5	3.092483	3.911194	3.558309	3.534546	2.831090	1.248314	3.546472	3.537305	3.776804	3.685490	0.000000	0.000000	0.000000	0.000000	0.025721	0.031239	0.023763	0.018245	0.000000	0.000000	5.085638	0	0	-0.055860	-0.055860
B6	3.092483	3.911372	3.558220	3.535347	2.831179	1.248848	3.548252	3.537839	3.777249	3.685757	0.000000	0.000000	0.000000	0.000000	0.025365	0.030794	0.022962	0.017088	0.000000	0.000000	5.084214	0	0	-0.055860	-0.055860
B7	3.092216	3.912262	3.559021	3.534635	2.831357	1.247780	3.546294	3.538729	3.777160	3.686558	0.000000	0.000000	0.000000	0.000000	0.025454	0.031417	0.023229	0.017978	0.000000	0.000000	5.086439	0	0	-0.055860	-0.055860
B8	3.092750	3.911639	3.558220	3.535169	2.831624	1.247958	3.541577	3.538284	3.777338	3.686558	0.000000	0.000000	0.000000	0.000000	0.025810	0.031061	0.023496	0.018690	0.000000	0.000000	5.086350	0	0	-0.055860	-0.055860
B9	3.093284	3.911906	3.559822	3.535347	2.831624	1.248848	3.541933	3.538462	3.777872	3.687181	0.000000	0.000000	0.000000	0.000000	0.025543	0.030260	0.022250	0.018334	0.000000	0.000000	5.085371	0	0	-0.055860	-0.055860
BA	3.092928	3.912529	3.559555	3.535703	2.832692	1.250005	3.543268	3.538640	3.777783	3.686469	0.000000	0.000000	0.000000	0.000000	0.025187	0.030705	0.022695	0.017622	0.000000	0.000000	5.085905	0	0	-0.055860	-0.055860
BB	3.092305	3.912618	3.559911	3.535614	2.832069	1.250628	3.543535	3.539352	3.778228	3.687804	0.000000	0.000000	0.000000	0.000000	0.025454	0.030438	0.023674	0.017622	0.000000	0.000000	5.087062	0	0	-0.055860	-0.055860
BC	3.093106	3.912351	3.559110	3.536148	2.831624	1.249827	3.546383	3.539441	3.778139	3.687804	0.000000	0.000000	0.000000	0.000000	0.025721	0.030527	0.022339	0.017889	0.000000	0.000000	5.087596	0	0	-0.055860	-0.055860
